system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
our+AF8-system,50,462,262144,162.897,73.572649
our+AF8-system,50,463,262144,131.898,97.775163
our+AF8-system,50,464,262144,171.301,102.715888
our+AF8-system,50,465,262144,175.544333,106.490274
our+AF8-system,50,466,262144,116.172,86.712693
our+AF8-system,50,467,262144,120.778333,80.272422
our+AF8-system,50,468,262144,136.309333,109.432567
our+AF8-system,50,469,262144,155.091333,110.137129
our+AF8-system,50,470,262144,169.892333,94.56485
our+AF8-system,50,471,262144,249.986,101.904106
our+AF8-system,50,472,262144,219.438,82.430917
our+AF8-system,50,473,262144,166.400666,106.822148
our+AF8-system,50,474,262144,195.164,84.012435
our+AF8-system,50,475,262144,159.529666,109.758713
our+AF8-system,50,476,262144,161.499333,96.313213
our+AF8-system,50,477,262144,116.380333,89.983051
our+AF8-system,50,478,262144,183.562,103.209346
our+AF8-system,50,479,262144,146.207,113.851215
our+AF8-system,50,480,262144,109.737,73.259832
our+AF8-system,50,481,262144,134.649666,95.387159
our+AF8-system,50,482,262144,141.982,95.670197
our+AF8-system,50,483,262144,127.564,84.202819
our+AF8-system,50,484,262144,130.125666,97.47316
our+AF8-system,50,485,262144,212.039333,95.510086
our+AF8-system,50,486,262144,118.114,85.298136
our+AF8-system,50,487,262144,162.415333,88.803719
our+AF8-system,50,488,262144,202.639333,89.660015
our+AF8-system,50,489,262144,248.374,87.847944
our+AF8-system,50,490,262144,159.347,94.018399
our+AF8-system,50,491,262144,128.724333,89.484105
our+AF8-system,50,492,262144,130.542,82.97448
our+AF8-system,50,493,262144,161.186,94.834265
our+AF8-system,50,494,262144,156.636,97.053186
our+AF8-system,50,495,262144,131.768666,95.106748
our+AF8-system,50,496,262144,114.871666,94.532009
our+AF8-system,50,497,262144,140.079666,71.911461
our+AF8-system,50,498,262144,103.323,86.469725
our+AF8-system,50,499,262144,204.606,76.096487
our+AF8-system,50,500,262144,103.609,55.688823
our+AF8-system,50,501,262144,176.365666,72.448154
our+AF8-system,50,502,262144,186.055666,93.775739
our+AF8-system,50,503,262144,338.405666,78.348969
our+AF8-system,50,504,262144,189.058,98.376151
our+AF8-system,50,505,262144,190.81,87.177898
our+AF8-system,50,506,262144,156.305333,88.145259
our+AF8-system,50,507,262144,176.062666,90.937524
our+AF8-system,50,508,262144,115.358666,86.64397
our+AF8-system,50,509,262144,144.402333,91.386034
our+AF8-system,50,510,262144,135.959333,85.518752
our+AF8-system,50,511,262144,126.658333,83.616763
our+AF8-system,50,512,262144,92.083333,92.269543
,,,mean,130.564382494141,107.666213865234
,,,median,126.6436665,95.4995935
,,,max,338.405666,1767.842583
,,,min,62.841666,55.688823
